,AHU_g,AHU_tin,AHU_tout,CP1_g_sv,CP1_g,CP1_inv,CP1_pw,RR1_g,RR1_tin_ch,RR1_tout_ch,RR1_COP,RR1_pw,RR1_lf,t_da
2019-07-07 00:00:00,0.1220703125,7.0,14.215504952453792,0.13426111130666668,0.14438691364294504,0.530841621555006,1.2778463818061114,0.14438691364294504,12.9544941045449,7.0,4.59834199381676,13.044326163606664,0.799768413541873,17.276666666666667
2019-07-07 00:15:00,0.1181640625,7.0,14.26568687821656,0.12959833333333334,0.14992690011549398,0.5301551046197301,1.312865828408719,0.14992690011549398,12.997626834932634,7.0,4.555618694408726,13.77124980846919,0.8363543041564087,17.1
2019-07-07 00:30:00,0.1171875,7.0,14.144788735075418,0.12797888906000002,0.14914620695326236,0.5291094248443463,1.3036180460021107,0.14914620695326236,12.88058470560376,7.0,4.607861717930961,13.279414871556913,0.8158686898510799,16.982666666666667
2019-07-07 00:45:00,0.1171875,7.0,14.19525618185681,0.12741666703333332,0.14779174336807896,0.5281473075921221,1.291397456725979,0.14779174336807896,12.921020161246613,7.0,4.617977666130928,13.220705736566096,0.8140285851683123,16.93066666666667
2019-07-07 01:00:00,0.1171875,7.0,14.191267317612068,0.12572388891333333,0.14185186624580734,0.5272292661227768,1.2503678589802427,0.14185186624580734,12.892952911297007,7.0,4.683502636074408,12.453513541611427,0.7776252816114133,16.934
2019-07-07 01:15:00,0.1171875,7.0,14.182183532611003,0.12744111108666667,0.13717600140773173,0.5266162319256106,1.2203634057027728,0.13717600140773173,12.8654910757411,7.0,4.737893459960207,11.848410515212384,0.7484736974397127,16.926666666666666
2019-07-07 01:30:00,0.11458333333333333,7.0,14.299583030589654,0.12538777797333334,0.13927378219281497,0.5261359484826076,1.2318137471627908,0.13927378219281497,12.936442345556422,7.0,4.701269510575321,12.277987288876973,0.7691768770369621,16.918666666666667
2019-07-07 01:45:00,0.1123046875,7.0,14.258045706875054,0.12166611094,0.14086128157271222,0.5252906574058839,1.2379490707678253,0.14086128157271222,12.91710469539113,7.0,4.689242790861614,12.404632462192279,0.7754321146626861,16.921333333333333
2019-07-07 02:00:00,0.11197916666666667,7.0,14.154771879736426,0.12114055536,0.1354080090066775,0.5244843870252485,1.2034455876685943,0.1354080090066775,12.790730032128923,7.0,4.7777002769831345,11.450865649569788,0.7293603601116171,16.895333333333333
2019-07-07 02:15:00,0.1103515625,7.0,14.277794513537737,0.12156833333333336,0.1366999631048237,0.5237969238500189,1.2092796605151854,0.1366999631048237,12.885957226324061,7.0,4.735621553021947,11.85078051984482,0.7480837551809097,16.950666666666667
2019-07-07 02:30:00,0.11165364583333333,7.0,14.327973842543146,0.12332833333333335,0.13411987140107795,0.5231465575076141,1.1919994337918693,0.13411987140107795,12.911729021224883,7.0,4.75290536154651,11.638256218835885,0.7374183889741488,16.968666666666664
2019-07-07 02:45:00,0.11263020833333333,7.0,14.621705908124502,0.12884055572666667,0.13769831183049905,0.5227260410788721,1.2110496974726757,0.13769831183049905,13.191656126695923,7.0,4.665625914673888,12.758800311227118,0.7933213968091554,16.854
2019-07-07 03:00:00,0.11686197916666667,7.0,14.330724602506905,0.12796666703333334,0.13609059616840147,0.5223603457523004,1.2003410852856442,0.13609059616840147,12.997897788679301,7.0,4.733132317206351,12.032874633084218,0.7592711046140186,16.813333333333333
2019-07-07 03:15:00,0.1123046875,7.0,14.259030640396817,0.1221061113066667,0.1414636562356176,0.5216704237054214,1.2299908288891297,0.1414636562356176,12.932497936745413,7.0,4.6816231905975005,12.508290070198473,0.7807330224820171,16.905333333333335
2019-07-07 03:30:00,0.1123046875,7.0,14.15300933322249,0.12118944478666667,0.13700524195903,0.5208167318972757,1.2005930056374376,0.13700524195903,12.812038944799049,7.0,4.732069448314926,11.740000207791612,0.7407209713915291,17.078
2019-07-07 03:45:00,0.109375,7.0,14.36779389336645,0.11985111167333334,0.13854716961286462,0.5200573664677152,1.2079818689548445,0.13854716961286462,12.951978127451252,7.0,4.665307965755958,12.344017634314474,0.7672531655655074,17.218
2019-07-07 04:00:00,0.10872395833333333,7.0,14.458509696677474,0.12023000036666669,0.13958132623749783,0.5190858535845788,1.2110135630652639,0.13958132623749783,13.03845147349177,7.0,4.627600313099603,12.706970552868087,0.7838294076068636,17.27333333333333
2019-07-07 04:15:00,0.111328125,7.0,14.427664472869354,0.12241166703333335,0.13456402965664918,0.5183584976923054,1.1792098740383352,0.13456402965664918,13.03266365680144,7.0,4.674602772825863,12.117776127048835,0.7550219756426755,17.314000000000004
2019-07-07 04:30:00,0.111328125,7.0,14.479313524786477,0.12285777797333333,0.1346082093245464,0.5177861717727923,1.17763177302637,0.1346082093245464,13.072059836021696,7.0,4.661713434563632,12.235414875992793,0.7602401562891881,17.339333333333332
2019-07-07 04:45:00,0.11197916666666667,7.0,14.345927269575293,0.12315722239333333,0.133271374368739,0.5172710090536898,1.168116818804051,0.133271374368739,12.966315917731976,7.0,4.695993577132471,11.815092857793362,0.7396616994023684,17.364
2019-07-07 05:00:00,0.11002604166666667,7.0,14.433416805752426,0.12144000036666668,0.13708022119793048,0.5167031499363189,1.1887855255374271,0.13708022119793048,13.015914486696532,7.0,4.642483001647789,12.392981130533027,0.7668416910468742,17.394
2019-07-07 05:15:00,0.109375,7.0,14.460256033647974,0.12060277797333335,0.13827470791050053,0.5158660953086508,1.1932020480086105,0.13827470791050053,13.077442318880866,7.0,4.61456515379252,12.704453801794285,0.7814165008502095,17.405333333333328
